"Symbol","EndDate","Source","StateTypeCode","RDPerson","RDPersonRatio","RDSpendSum","RDSpendSumRatio"
"000049","2018-12-31","0","1","779","7.3700","306586937.4600","1.7800"
"000049","2019-12-31","0","1","890","9.1300","296336110.7500","1.6100"
"000049","2020-12-31","0","1","870","8.8500","350775102.5200","1.8100"
"000049","2021-12-31","0","1","935","8.8500","407053958.6300","2.0900"
"000050","2007-12-31","0","1","317","","33725681.2800",""
"000050","2008-12-31","0","1","977","","",""
"000050","2009-12-31","0","1","858","","52297051.8800",""
"000050","2009-12-31","0","2","358","","",""
"000050","2010-12-31","0","1","836","","112427778.0000",""
"000050","2011-12-31","0","1","852","","109633008.0000",""
"000050","2012-12-31","0","1","","","176130733.0000","4.1000"
"000050","2013-12-31","0","1","","","247519369.0000","5.5000"
"000050","2014-12-31","0","1","","","538530000.0000","5.7800"
"000050","2015-12-31","0","1","1900","14.3200","883480793.0000","8.3900"
"000050","2016-12-31","0","1","2248","16.7800","1077714026.3900","10.0400"
"000050","2017-12-31","0","1","2166","13.0900","1056954457.6900","7.5400"
"000050","2018-12-31","0","1","5295","13.0700","1802626947.3700","6.2300"
"000050","2019-12-31","0","1","6458","16.2100","1856907233.9500","6.1300"
"000050","2020-12-31","0","1","7132","19.0300","2065755595.6900","7.0700"
"000050","2021-12-31","0","1","6244","23.3000","2068112985.8300","6.5000"
"000055","2007-12-31","0","1","","","8010510.4400",""
"000055","2008-12-31","0","1","","","8886638.4700",""
"000055","2009-12-31","0","1","","","5305280.0500",""
"000055","2012-12-31","0","1","","","","5.1500"
"000055","2013-12-31","0","1","","","103027800.0000","5.9000"
"000055","2014-12-31","0","1","","","86772900.0000","4.4800"
"000055","2015-12-31","0","1","351","15.0800","105200255.7200","4.1200"
"000055","2016-12-31","0","1","459","19.5400","113321489.3100","2.7000"
"000055","2017-12-31","0","1","400","18.6000","112793075.4900","3.8300"
"000055","2018-12-31","0","1","404","18.3100","138333164.5200","4.5400"
"000055","2019-12-31","0","1","503","21.0000","136943143.2300","4.5600"
"000055","2020-12-31","0","1","565","25.1700","141611939.3400","4.7500"
"000055","2021-12-31","0","1","563","19.0300","152973582.3800","4.3000"
"000055","2022-12-31","0","1","589","20.1900","161812913.0200","4.2100"
"000058","2012-12-31","0","1","","","3596604.3100","0.0100"
"000058","2013-12-31","0","1","","","1399040.9900","0.2300"
"000058","2014-12-31","0","1","","","1136073.7000","0.1700"
"000058","2015-12-31","0","1","0","0.0000","659249.0000","0.0900"
"000058","2019-12-31","0","1","15","0.5400","2862500.1800","0.1900"
"000058","2020-12-31","0","1","15","0.5700","4245611.7700","0.3000"
"000058","2021-12-31","0","1","29","0.2500","5046124.9000","0.2500"
"000059","2010-12-31","0","1","","","109287629.2000",""
"000059","2011-12-31","0","1","","","104767409.0200",""
"000059","2012-12-31","0","1","","","85483072.5200",""
"000059","2013-12-31","0","1","","","61630000.0000",""
"000059","2014-12-31","0","1","","","64346938.2200","0.1800"
"000059","2015-12-31","0","1","470","3.9900","71257751.6800","0.2300"
"000059","2016-12-31","0","1","352","3.2900","77312274.8700","0.2700"
"000059","2017-12-31","0","1","256","2.5000","89889349.0500","0.2700"
"000059","2018-12-31","0","1","214","2.4000","89180247.4200","0.2400"
"000059","2019-12-31","0","1","236","2.9400","100209482.5000","0.2500"
"000059","2020-12-31","0","1","151","1.9500","112039286.3800","0.3700"
"000059","2021-12-31","0","1","53","0.6600","124678720.3400","0.3200"
"000060","2009-12-31","0","1","","","17619145.5200",""
"000060","2012-12-31","0","2","","","271034100.0000","3.1100"
"000060","2012-12-31","0","1","","","271034100.0000","1.4800"
"000060","2013-12-31","0","1","","","239909100.0000","1.1300"
"000060","2014-12-31","0","1","","","240407700.0000","0.9800"
"000060","2015-12-31","0","1","802","7.6600","192228100.0000","1.1300"
"000060","2016-12-31","0","1","808","7.9800","196115644.0000","1.3000"
"000060","2017-12-31","0","1","817","8.4400","230079145.7100","1.2100"
"000060","2018-12-31","0","1","797","8.0900","189332238.9500","0.9500"
"000060","2019-12-31","0","1","833","8.6700","296244452.1600","1.3000"
"000060","2020-12-31","0","1","859","8.7300","314374802.0500","1.0400"
"000060","2021-12-31","0","1","879","9.1000","355243539.0900","0.8000"
"000061","2013-12-31","0","1","","","1482986.4700",""
"000061","2014-12-31","0","1","","","924918.6300","0.0560"
"000061","2015-12-31","0","1","","","1650.0000",""
"000061","2018-12-31","0","1","60","1.2400","7200731.4600","0.3100"
"000061","2019-12-31","0","1","49","1.0100","9434160.3600","0.3300"
"000061","2020-12-31","0","1","32","0.6600","7248094.4300","0.2300"
"000061","2021-12-31","0","1","42","0.8700","10307464.3400","0.2500"
"000062","2012-12-31","0","1","64","","",""
"000062","2013-12-31","0","1","75","","",""
"000062","2016-12-31","0","1","117","7.1300","17869898.6300","0.3200"
"000062","2017-12-31","0","1","233","12.7200","47417881.8800","0.5700"
"000062","2018-12-31","0","1","294","15.4300","85968131.5100","0.7300"
"000062","2019-12-31","0","1","271","14.3600","97125468.9900","0.6800"
"000062","2020-12-31","0","1","286","15.2000","93087929.8500","0.5700"
"000062","2021-12-31","0","1","354","15.7600","156675902.8400","0.6900"
"000063","2007-12-31","0","1","","","3210400000.0000","9.2000"
"000063","2008-12-31","0","1","20750","33.8000","4272575000.0000",""
"000063","2009-12-31","0","1","23544","33.5000","402773000.0000",""
"000063","2010-12-31","0","1","27941","32.8000","",""
"000063","2013-12-31","0","1","","","73839000000.0000","9.8100"
"000063","2014-12-31","0","1","","","9008500000.0000","11.0600"
"000063","2015-12-31","0","1","31703","37.4600","12200500000.0000","12.1800"
"000063","2016-12-31","0","1","30086","36.9300","12762100000.0000","12.6100"
"000063","2017-12-31","0","1","28942","38.7100","12962200000.0000","11.9100"
"000063","2018-12-31","0","1","25969","38.0600","10905600000.0000","12.7500"
"000063","2019-12-31","0","1","28301","40.3900","12547900000.0000","13.8300"
"000063","2020-12-31","0","1","31747","43.0700","14797000000.0000","14.5900"
"000063","2021-12-31","0","1","33422","46.0000","18804000000.0000","16.4200"
"000065","2012-12-31","0","1","","","","4.4900"
"000065","2013-12-31","0","1","","","","2.5400"
"000065","2013-12-31","0","2","","","","3.0500"
"000065","2014-12-31","0","1","","","","2.5700"
"000065","2015-12-31","0","1","120","34.5800","109760687.0100","2.5600"
"000065","2016-12-31","0","1","125","43.7100","142805857.2500","1.6300"
"000065","2017-12-31","0","1","126","43.7500","160151372.1600","1.6500"
"000065","2018-12-31","0","1","117","39.5300","130193899.3500","1.3000"
"000065","2019-12-31","0","1","103","33.9900","133263745.6000","1.2000"
