证券代码,证券简称,辖区,证监会行业,申万行业,内部控制指数评级,内部控制指数评分,报告期
600639.SH,浦东金桥,上海辖区,房地产业,产业地产,BB,737.17,2022-12-31
300475.SZ,香农芯创,安徽辖区,批发业,其他电子Ⅲ,BB,737.01,2022-12-31
601298.SH,青岛港,青岛辖区,水上运输业,港口,BB,737.01,2022-12-31
605050.SH,福然德,上海辖区,装卸搬运和运输代理业,原材料供应链服务,BB,736.86,2022-12-31
600995.SH,南网储能,云南辖区,电力、热力生产和供应业,电能综合服务,BB,736.67,2022-12-31
000707.SZ,双环科技,湖北辖区,化学原料和化学制品制造业,纯碱,BB,736.59,2022-12-31
000950.SZ,重药控股,重庆辖区,批发业,医药流通,BB,736.58,2022-12-31
600023.SH,浙能电力,浙江辖区,电力、热力生产和供应业,火力发电,BB,736.52,2022-12-31
000627.SZ,天茂集团,湖北辖区,保险业,保险Ⅲ,BB,736.5,2022-12-31
603799.SH,华友钴业,浙江辖区,有色金属冶炼和压延加工业,钴,BB,736.49,2022-12-31
000567.SZ,海德股份,海南辖区,其他金融业,资产管理,BB,736.43,2022-12-31
600575.SH,淮河能源,安徽辖区,水上运输业,动力煤,BB,736.36,2022-12-31
000970.SZ,中科三环,北京辖区,计算机、通信和其他电子设备制造业,磁性材料,BB,736.09,2022-12-31
603527.SH,众源新材,安徽辖区,有色金属冶炼和压延加工业,铜,BB,735.86,2022-12-31
300511.SZ,雪榕生物,上海辖区,农业,食用菌,BB,735.84,2022-12-31
600584.SH,长电科技,江苏辖区,计算机、通信和其他电子设备制造业,集成电路封测,BB,735.56,2022-12-31
000778.SZ,新兴铸管,河北辖区,"金属制品业 ",钢铁管材,BB,735.05,2022-12-31
002603.SZ,以岭药业,河北辖区,"医药制造业 ",中药Ⅲ,BB,734.9,2022-12-31
603970.SH,中农立华,北京辖区,批发业,农药,BB,734.75,2022-12-31
600824.SH,益民集团,上海辖区,零售业,多业态零售,BB,734.74,2022-12-31
301026.SZ,浩通科技,江苏辖区,"废弃资源综合利用业  ",其他小金属,BB,734.66,2022-12-31
002120.SZ,韵达股份,宁波辖区,邮政业,快递,BB,734.4,2022-12-31
600900.SH,长江电力,北京辖区,电力、热力生产和供应业,水力发电,BB,733.96,2022-12-31
000009.SZ,中国宝安,深圳辖区,综合,电池化学品,BB,733.58,2022-12-31
000983.SZ,山西焦煤,山西辖区,煤炭开采和洗选业,焦煤,BB,733.37,2022-12-31
600866.SH,星湖科技,广东辖区,食品制造业,食品及饲料添加剂,BB,733.35,2022-12-31
002241.SZ,歌尔股份,山东辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,BB,733.34,2022-12-31
601618.SH,中国中冶,北京辖区,土木工程建筑业,其他专业工程,BB,733.27,2022-12-31
600657.SH,信达地产,北京辖区,房地产业,住宅开发,BB,732.81,2022-12-31
000737.SZ,北方铜业,山西辖区,化学原料和化学制品制造业,铜,BB,732.75,2022-12-31
600550.SH,保变电气,河北辖区,"电气机械和器材制造业 ",输变电设备,BB,732.36,2022-12-31
601318.SH,中国平安,深圳辖区,保险业,保险Ⅲ,BB,731.82,2022-12-31
601168.SH,西部矿业,青海辖区,有色金属矿采选业,铜,BB,731.68,2022-12-31
601609.SH,金田股份,宁波辖区,有色金属冶炼和压延加工业,铜,BB,731.67,2022-12-31
600036.SH,招商银行,深圳辖区,货币金融服务,股份制银行Ⅲ,BB,731.61,2022-12-31
600373.SH,中文传媒,江西辖区,新闻和出版业,大众出版,BB,731.48,2022-12-31
600970.SH,中材国际,江苏辖区,土木工程建筑业,国际工程,BB,731.42,2022-12-31
600583.SH,海油工程,天津辖区,开采辅助活动,油气及炼化工程,BB,731.39,2022-12-31
301090.SZ,华润材料,江苏辖区,化学原料和化学制品制造业,其他塑料制品,BB,731.29,2022-12-31
688778.SH,厦钨新能,厦门辖区,"电气机械和器材制造业 ",电池化学品,BB,731.26,2022-12-31
605168.SH,三人行,陕西辖区,商务服务业,营销代理,BB,731.16,2022-12-31
600919.SH,江苏银行,江苏辖区,货币金融服务,城商行Ⅲ,BB,731.1,2022-12-31
300274.SZ,阳光电源,安徽辖区,"电气机械和器材制造业 ",逆变器,BB,731.01,2022-12-31
002032.SZ,苏 泊 尔,浙江辖区,"金属制品业 ",厨房小家电,BB,730.8,2022-12-31
002952.SZ,亚世光电,辽宁辖区,计算机、通信和其他电子设备制造业,面板,BB,730.68,2022-12-31
002432.SZ,九安医疗,天津辖区,专用设备制造业,体外诊断,BB,730.39,2022-12-31
000333.SZ,美的集团,广东辖区,"电气机械和器材制造业 ",空调,BB,730.17,2022-12-31
603909.SH,建发合诚,厦门辖区,专业技术服务业,工程咨询服务Ⅲ,BB,729.97,2022-12-31
002300.SZ,太阳电缆,福建辖区,"电气机械和器材制造业 ",线缆部件及其他,BB,729.93,2022-12-31
600173.SH,卧龙地产,浙江辖区,房地产业,住宅开发,BB,729.92,2022-12-31
600325.SH,华发股份,广东辖区,房地产业,住宅开发,BB,729.3,2022-12-31
002265.SZ,建设工业,云南辖区,汽车制造业,底盘与发动机系统,BB,729.04,2022-12-31
000719.SZ,中原传媒,河南辖区,新闻和出版业,大众出版,BB,728.62,2022-12-31
002050.SZ,三花智控,浙江辖区,通用设备制造业,家电零部件Ⅲ,BB,728.33,2022-12-31
000059.SZ,华锦股份,辽宁辖区,"石油加工、炼焦和核燃料加工业 ",炼油化工,BB,727.81,2022-12-31
600481.SH,双良节能,江苏辖区,"电气机械和器材制造业 ",硅料硅片,BB,727.54,2022-12-31
300354.SZ,东华测试,江苏辖区,仪器仪表制造业,仪器仪表,BB,727.4,2022-12-31
603392.SH,万泰生物,北京辖区,"医药制造业 ",疫苗,BB,727.18,2022-12-31
603519.SH,立霸股份,江苏辖区,"电气机械和器材制造业 ",家电零部件Ⅲ,BB,727.14,2022-12-31
600985.SH,淮北矿业,安徽辖区,煤炭开采和洗选业,焦煤,BB,727.08,2022-12-31
002244.SZ,滨江集团,浙江辖区,房地产业,住宅开发,BB,727.06,2022-12-31
605222.SH,起帆电缆,上海辖区,"电气机械和器材制造业 ",线缆部件及其他,BB,726.99,2022-12-31
300760.SZ,迈瑞医疗,深圳辖区,专用设备制造业,医疗设备,BB,726.96,2022-12-31
600160.SH,巨化股份,浙江辖区,化学原料和化学制品制造业,氟化工,BB,726.83,2022-12-31
600051.SH,宁波联合,宁波辖区,批发业,综合Ⅲ,BB,726.82,2022-12-31
000726.SZ,鲁  泰Ａ,山东辖区,纺织业,棉纺,BB,726.6,2022-12-31
603819.SH,神力股份,江苏辖区,"电气机械和器材制造业 ",电机Ⅲ,BB,726.15,2022-12-31
601899.SH,紫金矿业,福建辖区,有色金属矿采选业,铜,BB,725.79,2022-12-31
002056.SZ,横店东磁,浙江辖区,"电气机械和器材制造业 ",光伏电池组件,BB,725.75,2022-12-31
600787.SH,中储股份,天津辖区,"仓储业 ",仓储物流,BB,725.62,2022-12-31
600511.SH,国药股份,北京辖区,批发业,医药流通,BB,725.61,2022-12-31
300499.SZ,高澜股份,广东辖区,"电气机械和器材制造业 ",其他专用设备,BB,725.58,2022-12-31
002017.SZ,东信和平,广东辖区,计算机、通信和其他电子设备制造业,通信终端及配件,BB,725.36,2022-12-31
600745.SH,闻泰科技,湖北辖区,计算机、通信和其他电子设备制造业,分立器件,BB,724.82,2022-12-31
600916.SH,中国黄金,北京辖区,零售业,钟表珠宝,BB,724.51,2022-12-31
300639.SZ,凯普生物,广东辖区,"医药制造业 ",体外诊断,BB,724.49,2022-12-31
600011.SH,华能国际,北京辖区,电力、热力生产和供应业,火力发电,BB,724.43,2022-12-31
300390.SZ,天华新能,江苏辖区,计算机、通信和其他电子设备制造业,锂,BB,724.27,2022-12-31
600282.SH,南钢股份,江苏辖区,"黑色金属冶炼和压延加工业 ",板材,BB,724.27,2022-12-31
002415.SZ,海康威视,浙江辖区,计算机、通信和其他电子设备制造业,安防设备,BB,724.15,2022-12-31
