证券代码,证券简称,辖区,证监会行业,申万行业,内部控制指数评级,内部控制指数评分,报告期
300489.SZ,光智科技,黑龙江辖区,有色金属冶炼和压延加工业,激光设备,B,637.84,2018-12-31
300490.SZ,华自科技,湖南辖区,"电气机械和器材制造业 ",锂电专用设备,B,643.98,2018-12-31
300491.SZ,通合科技,河北辖区,"电气机械和器材制造业 ",其他电源设备Ⅲ,C,589.43,2018-12-31
300492.SZ,华图山鼎,四川辖区,专业技术服务业,工程咨询服务Ⅲ,BB,720.41,2018-12-31
300493.SZ,润欣科技,上海辖区,软件和信息技术服务业,其他电子Ⅲ,C,539.66,2018-12-31
300494.SZ,盛天网络,湖北辖区,互联网和相关服务,游戏Ⅲ,B,693.8,2018-12-31
300495.SZ,*ST美尚,深圳辖区,生态保护和环境治理业,园林工程,B,662.29,2018-12-31
300496.SZ,中科创达,北京辖区,软件和信息技术服务业,IT服务Ⅲ,B,676.65,2018-12-31
300497.SZ,富祥药业,江西辖区,"医药制造业 ",原料药,B,669.73,2018-12-31
300498.SZ,温氏股份,广东辖区,畜牧业,生猪养殖,BBB,770.59,2018-12-31
300499.SZ,高澜股份,广东辖区,"电气机械和器材制造业 ",其他专用设备,B,685.48,2018-12-31
300500.SZ,启迪设计,江苏辖区,专业技术服务业,工程咨询服务Ⅲ,BB,734.42,2018-12-31
300501.SZ,海顺新材,上海辖区,"医药制造业 ",综合包装,BB,724.33,2018-12-31
300502.SZ,新易盛,四川辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,619,2018-12-31
300503.SZ,昊志机电,广东辖区,通用设备制造业,其他通用设备,B,674.85,2018-12-31
300505.SZ,川金诺,云南辖区,化学原料和化学制品制造业,磷肥及磷化工,BB,707.71,2018-12-31
300506.SZ,名家汇,深圳辖区,建筑装饰和其他建筑业,装修装饰Ⅲ,BB,728.8,2018-12-31
300507.SZ,苏奥传感,江苏辖区,汽车制造业,底盘与发动机系统,BB,707.45,2018-12-31
300508.SZ,维宏股份,上海辖区,软件和信息技术服务业,其他计算机设备,B,670.86,2018-12-31
300509.SZ,新美星,江苏辖区,专用设备制造业,印刷包装机械,B,643.35,2018-12-31
300510.SZ,金冠股份,吉林辖区,"电气机械和器材制造业 ",电网自动化设备,B,664.79,2018-12-31
300511.SZ,雪榕生物,上海辖区,农业,食用菌,C,556.81,2018-12-31
300512.SZ,中亚股份,浙江辖区,通用设备制造业,印刷包装机械,BB,712.97,2018-12-31
300513.SZ,恒实科技,北京辖区,软件和信息技术服务业,通信工程及服务,BB,704.07,2018-12-31
300514.SZ,友讯达,深圳辖区,计算机、通信和其他电子设备制造业,电工仪器仪表,B,679.47,2018-12-31
300515.SZ,三德科技,湖南辖区,仪器仪表制造业,仪器仪表,B,691.14,2018-12-31
300516.SZ,久之洋,湖北辖区,计算机、通信和其他电子设备制造业,其他电子Ⅲ,B,695.32,2018-12-31
300517.SZ,海波重科,湖北辖区,土木工程建筑业,钢结构,B,617.13,2018-12-31
300518.SZ,盛讯达,深圳辖区,软件和信息技术服务业,电商服务,B,646.28,2018-12-31
300519.SZ,新光药业,浙江辖区,"医药制造业 ",中药Ⅲ,B,646.28,2018-12-31
300520.SZ,科大国创,安徽辖区,软件和信息技术服务业,垂直应用软件,B,645.33,2018-12-31
300521.SZ,爱司凯,广东辖区,专用设备制造业,印刷包装机械,B,633.56,2018-12-31
300522.SZ,世名科技,江苏辖区,化学原料和化学制品制造业,涂料油墨,B,691.83,2018-12-31
300523.SZ,辰安科技,北京辖区,软件和信息技术服务业,IT服务Ⅲ,BB,712.2,2018-12-31
300525.SZ,博思软件,福建辖区,软件和信息技术服务业,垂直应用软件,B,629.52,2018-12-31
300526.SZ,中潜退,广东辖区,专用设备制造业,鞋帽及其他,BB,725.11,2018-12-31
300527.SZ,中船应急,湖北辖区,专用设备制造业,地面兵装Ⅲ,B,644.08,2018-12-31
300528.SZ,幸福蓝海,江苏辖区,广播、电视、电影和影视录音制作业,院线,D,0,2018-12-31
300529.SZ,健帆生物,广东辖区,专用设备制造业,医疗耗材,B,679.02,2018-12-31
300530.SZ,领湃科技,湖南辖区,化学原料和化学制品制造业,其他化学制品,B,649.61,2018-12-31
300531.SZ,优博讯,深圳辖区,计算机、通信和其他电子设备制造业,其他计算机设备,BBB,750.75,2018-12-31
300532.SZ,今天国际,深圳辖区,软件和信息技术服务业,IT服务Ⅲ,B,624.97,2018-12-31
300533.SZ,冰川网络,深圳辖区,软件和信息技术服务业,游戏Ⅲ,B,633.63,2018-12-31
300534.SZ,陇神戎发,甘肃辖区,"医药制造业 ",中药Ⅲ,B,648.98,2018-12-31
300535.SZ,达威股份,四川辖区,化学原料和化学制品制造业,其他化学制品,B,680.86,2018-12-31
300536.SZ,农尚环境,湖北辖区,土木工程建筑业,园林工程,B,698.43,2018-12-31
300537.SZ,广信材料,江苏辖区,化学原料和化学制品制造业,电子化学品Ⅲ,B,642.87,2018-12-31
300538.SZ,同益股份,深圳辖区,批发业,改性塑料,BB,720.98,2018-12-31
300539.SZ,横河精密,宁波辖区,橡胶和塑料制品业,其他塑料制品,B,667.57,2018-12-31
300540.SZ,蜀道装备,四川辖区,通用设备制造业,其他专用设备,B,691.41,2018-12-31
300541.SZ,先进数通,北京辖区,软件和信息技术服务业,IT服务Ⅲ,B,695.62,2018-12-31
300542.SZ,新晨科技,北京辖区,软件和信息技术服务业,垂直应用软件,B,679.18,2018-12-31
300543.SZ,朗科智能,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,BB,711.21,2018-12-31
300545.SZ,联得装备,深圳辖区,专用设备制造业,面板,BB,721.07,2018-12-31
300546.SZ,雄帝科技,深圳辖区,计算机、通信和其他电子设备制造业,其他计算机设备,B,683.72,2018-12-31
300547.SZ,川环科技,四川辖区,橡胶和塑料制品业,底盘与发动机系统,B,677.6,2018-12-31
300548.SZ,博创科技,浙江辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,624.61,2018-12-31
300549.SZ,优德精密,江苏辖区,专用设备制造业,其他专用设备,B,658.81,2018-12-31
300550.SZ,和仁科技,浙江辖区,软件和信息技术服务业,垂直应用软件,B,664.76,2018-12-31
300551.SZ,古鳌科技,上海辖区,专用设备制造业,其他计算机设备,B,675.19,2018-12-31
300552.SZ,万集科技,北京辖区,软件和信息技术服务业,其他计算机设备,B,647.65,2018-12-31
300553.SZ,集智股份,浙江辖区,仪器仪表制造业,仪器仪表,B,673.52,2018-12-31
300554.SZ,三超新材,江苏辖区,非金属矿物制品业,磨具磨料,B,624.06,2018-12-31
300555.SZ,ST路通,江苏辖区,计算机、通信和其他电子设备制造业,通信终端及配件,B,608.78,2018-12-31
300556.SZ,丝路视觉,深圳辖区,软件和信息技术服务业,垂直应用软件,BB,712.37,2018-12-31
300557.SZ,理工光科,湖北辖区,仪器仪表制造业,仪器仪表,B,622.42,2018-12-31
300558.SZ,贝达药业,浙江辖区,"医药制造业 ",化学制剂,B,682.52,2018-12-31
300559.SZ,佳发教育,四川辖区,软件和信息技术服务业,垂直应用软件,BB,722.47,2018-12-31
300560.SZ,中富通,福建辖区,软件和信息技术服务业,通信工程及服务,BB,708,2018-12-31
300561.SZ,汇金科技,广东辖区,软件和信息技术服务业,垂直应用软件,B,644.95,2018-12-31
300562.SZ,乐心医疗,广东辖区,专用设备制造业,医疗设备,B,651.08,2018-12-31
300563.SZ,神宇股份,江苏辖区,计算机、通信和其他电子设备制造业,通信线缆及配套,BB,713.9,2018-12-31
300565.SZ,科信技术,深圳辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,C,556.1,2018-12-31
300566.SZ,激智科技,宁波辖区,计算机、通信和其他电子设备制造业,光学元件,B,631.54,2018-12-31
300567.SZ,精测电子,湖北辖区,仪器仪表制造业,仪器仪表,BB,715.77,2018-12-31
300568.SZ,星源材质,深圳辖区,化学原料和化学制品制造业,电池化学品,B,669.36,2018-12-31
300569.SZ,天能重工,青岛辖区,"电气机械和器材制造业 ",风电零部件,B,665.22,2018-12-31
300570.SZ,太辰光,深圳辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,BB,702.04,2018-12-31
300571.SZ,平治信息,浙江辖区,互联网和相关服务,通信应用增值服务,C,579.3,2018-12-31
300572.SZ,安车检测,深圳辖区,仪器仪表制造业,检测服务,B,692.16,2018-12-31
300573.SZ,兴齐眼药,辽宁辖区,"医药制造业 ",化学制剂,B,660.28,2018-12-31
300575.SZ,中旗股份,江苏辖区,化学原料和化学制品制造业,农药,B,627.6,2018-12-31
300576.SZ,容大感光,深圳辖区,化学原料和化学制品制造业,电子化学品Ⅲ,B,663.09,2018-12-31
300577.SZ,开润股份,安徽辖区,纺织业,鞋帽及其他,BB,728.04,2018-12-31
300578.SZ,会畅通讯,上海辖区,软件和信息技术服务业,通信应用增值服务,C,564.2,2018-12-31
300579.SZ,数字认证,北京辖区,软件和信息技术服务业,垂直应用软件,B,683.66,2018-12-31
300580.SZ,贝斯特,江苏辖区,汽车制造业,底盘与发动机系统,BB,720.2,2018-12-31
300581.SZ,晨曦航空,陕西辖区,计算机、通信和其他电子设备制造业,航空装备Ⅲ,B,663.54,2018-12-31
300582.SZ,英飞特,浙江辖区,计算机、通信和其他电子设备制造业,LED,B,632.12,2018-12-31
300583.SZ,赛托生物,山东辖区,"医药制造业 ",原料药,BB,748.81,2018-12-31
300584.SZ,海辰药业,江苏辖区,"医药制造业 ",化学制剂,BB,706.54,2018-12-31
300585.SZ,奥联电子,江苏辖区,汽车制造业,底盘与发动机系统,B,643.73,2018-12-31
300586.SZ,美联新材,广东辖区,橡胶和塑料制品业,改性塑料,B,662.96,2018-12-31
300587.SZ,天铁股份,浙江辖区,橡胶和塑料制品业,其他橡胶制品,B,696.34,2018-12-31
300588.SZ,熙菱信息,新疆辖区,软件和信息技术服务业,安防设备,B,649.56,2018-12-31
300589.SZ,江龙船艇,广东辖区,铁路、船舶、航空航天和其他运输设备制造业,航海装备Ⅲ,B,670.61,2018-12-31
300590.SZ,移为通信,上海辖区,计算机、通信和其他电子设备制造业,通信终端及配件,BB,710.87,2018-12-31
300591.SZ,万里马,广东辖区,皮革、毛皮、羽毛及其制品和制鞋业,鞋帽及其他,BBB,774.13,2018-12-31
300592.SZ,华凯易佰,湖南辖区,零售业,跨境电商,C,589.52,2018-12-31
300593.SZ,新雷能,北京辖区,"电气机械和器材制造业 ",其他电源设备Ⅲ,B,676.78,2018-12-31
300595.SZ,欧普康视,安徽辖区,专用设备制造业,医疗耗材,BB,731.11,2018-12-31
300596.SZ,利安隆,天津辖区,化学原料和化学制品制造业,其他化学制品,B,667.32,2018-12-31
300597.SZ,吉大通信,吉林辖区,软件和信息技术服务业,通信工程及服务,B,661.48,2018-12-31
300598.SZ,诚迈科技,江苏辖区,软件和信息技术服务业,垂直应用软件,B,661.2,2018-12-31
300599.SZ,雄塑科技,广东辖区,橡胶和塑料制品业,管材,B,605.56,2018-12-31
300600.SZ,国瑞科技,江苏辖区,铁路、船舶、航空航天和其他运输设备制造业,航海装备Ⅲ,BB,702.41,2018-12-31
300601.SZ,康泰生物,深圳辖区,"医药制造业 ",疫苗,B,695.18,2018-12-31
300602.SZ,飞荣达,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,BB,720.01,2018-12-31
300603.SZ,立昂技术,新疆辖区,软件和信息技术服务业,通信工程及服务,B,609.45,2018-12-31
300604.SZ,长川科技,浙江辖区,专用设备制造业,半导体设备,B,692.8,2018-12-31
300605.SZ,恒锋信息,福建辖区,软件和信息技术服务业,垂直应用软件,C,586.31,2018-12-31
300606.SZ,金太阳,广东辖区,非金属矿物制品业,磨具磨料,B,624.4,2018-12-31
300607.SZ,拓斯达,广东辖区,通用设备制造业,机器人,B,674.55,2018-12-31
300608.SZ,思特奇,北京辖区,软件和信息技术服务业,垂直应用软件,B,645.79,2018-12-31
300609.SZ,汇纳科技,上海辖区,软件和信息技术服务业,IT服务Ⅲ,B,683.91,2018-12-31
300610.SZ,晨化股份,江苏辖区,化学原料和化学制品制造业,其他化学制品,B,648.15,2018-12-31
300611.SZ,美力科技,浙江辖区,通用设备制造业,底盘与发动机系统,B,616.81,2018-12-31
300612.SZ,宣亚国际,北京辖区,商务服务业,营销代理,B,643.39,2018-12-31
300613.SZ,富瀚微,上海辖区,软件和信息技术服务业,数字芯片设计,C,592.55,2018-12-31
300615.SZ,欣天科技,深圳辖区,计算机、通信和其他电子设备制造业,通信终端及配件,BB,715.46,2018-12-31
300616.SZ,尚品宅配,广东辖区,"家具制造业 ",定制家居,BBB,779.27,2018-12-31
300617.SZ,安靠智电,江苏辖区,"电气机械和器材制造业 ",线缆部件及其他,B,653.44,2018-12-31
300618.SZ,寒锐钴业,江苏辖区,有色金属冶炼和压延加工业,钴,BBB,766.45,2018-12-31
300619.SZ,金银河,广东辖区,专用设备制造业,锂电专用设备,B,655.35,2018-12-31
300620.SZ,光库科技,广东辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,BB,709.93,2018-12-31
300621.SZ,维业股份,深圳辖区,建筑装饰和其他建筑业,装修装饰Ⅲ,BB,713.21,2018-12-31
300622.SZ,博士眼镜,深圳辖区,零售业,专业连锁Ⅲ,B,697.87,2018-12-31
300623.SZ,捷捷微电,江苏辖区,计算机、通信和其他电子设备制造业,分立器件,BB,703.57,2018-12-31
300625.SZ,三雄极光,广东辖区,"电气机械和器材制造业 ",照明设备Ⅲ,BB,700.16,2018-12-31
300626.SZ,华瑞股份,宁波辖区,"电气机械和器材制造业 ",电机Ⅲ,B,648.73,2018-12-31
300627.SZ,华测导航,上海辖区,计算机、通信和其他电子设备制造业,通信终端及配件,B,664.26,2018-12-31
300628.SZ,亿联网络,厦门辖区,计算机、通信和其他电子设备制造业,通信终端及配件,BB,734.43,2018-12-31
300629.SZ,新劲刚,广东辖区,计算机、通信和其他电子设备制造业,军工电子Ⅲ,B,645.98,2018-12-31
300630.SZ,普利制药,海南辖区,"医药制造业 ",化学制剂,BB,709.9,2018-12-31
300631.SZ,久吾高科,江苏辖区,专用设备制造业,环保设备Ⅲ,BB,722.77,2018-12-31
300632.SZ,光莆股份,厦门辖区,计算机、通信和其他电子设备制造业,LED,B,674.66,2018-12-31
300633.SZ,开立医疗,深圳辖区,专用设备制造业,医疗设备,B,695.76,2018-12-31
300635.SZ,中达安,广东辖区,专业技术服务业,工程咨询服务Ⅲ,B,697.14,2018-12-31
300636.SZ,同和药业,江西辖区,"医药制造业 ",原料药,B,667.77,2018-12-31
300637.SZ,扬帆新材,浙江辖区,化学原料和化学制品制造业,其他化学制品,BB,717.13,2018-12-31
300638.SZ,广和通,深圳辖区,计算机、通信和其他电子设备制造业,通信终端及配件,BB,703.8,2018-12-31
300639.SZ,凯普生物,广东辖区,"医药制造业 ",体外诊断,BB,718.22,2018-12-31
300640.SZ,德艺文创,福建辖区,文教、工美、体育和娱乐用品制造业,其他家居用品,BB,708.07,2018-12-31
300641.SZ,正丹股份,江苏辖区,化学原料和化学制品制造业,其他化学制品,B,686.55,2018-12-31
300642.SZ,透景生命,上海辖区,"医药制造业 ",体外诊断,B,676.74,2018-12-31
300643.SZ,万通智控,浙江辖区,汽车制造业,其他汽车零部件,B,649.21,2018-12-31
300645.SZ,正元智慧,浙江辖区,软件和信息技术服务业,其他计算机设备,BB,715.59,2018-12-31
300647.SZ,超频三,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,660.97,2018-12-31
300648.SZ,星云股份,福建辖区,仪器仪表制造业,锂电专用设备,B,649.59,2018-12-31
300649.SZ,杭州园林,浙江辖区,土木工程建筑业,园林工程,BB,740.9,2018-12-31
300650.SZ,太龙股份,福建辖区,批发业,其他电子Ⅲ,BB,709.93,2018-12-31
300651.SZ,金陵体育,江苏辖区,文教、工美、体育和娱乐用品制造业,娱乐用品,B,650.77,2018-12-31
300652.SZ,雷迪克,浙江辖区,汽车制造业,轮胎轮毂,B,642.59,2018-12-31
300653.SZ,正海生物,山东辖区,专用设备制造业,医疗耗材,B,652.76,2018-12-31
300654.SZ,世纪天鸿,山东辖区,新闻和出版业,教育出版,B,668.91,2018-12-31
300655.SZ,晶瑞电材,江苏辖区,化学原料和化学制品制造业,电子化学品Ⅲ,B,629.84,2018-12-31
300656.SZ,民德电子,深圳辖区,计算机、通信和其他电子设备制造业,其他电子Ⅲ,B,699.28,2018-12-31
300657.SZ,弘信电子,厦门辖区,计算机、通信和其他电子设备制造业,印制电路板,B,690.81,2018-12-31
300658.SZ,延江股份,厦门辖区,纺织业,生活用纸,B,646.28,2018-12-31
300659.SZ,中孚信息,山东辖区,软件和信息技术服务业,其他计算机设备,B,648.81,2018-12-31
300660.SZ,江苏雷利,江苏辖区,"电气机械和器材制造业 ",电机Ⅲ,B,616.25,2018-12-31
300661.SZ,圣邦股份,北京辖区,计算机、通信和其他电子设备制造业,模拟芯片设计,B,647.93,2018-12-31
300662.SZ,科锐国际,北京辖区,商务服务业,人力资源服务,B,653.51,2018-12-31
300663.SZ,科蓝软件,北京辖区,软件和信息技术服务业,垂直应用软件,B,666.45,2018-12-31
300665.SZ,飞鹿股份,湖南辖区,化学原料和化学制品制造业,涂料油墨,B,672.14,2018-12-31
300666.SZ,江丰电子,宁波辖区,计算机、通信和其他电子设备制造业,半导体材料,B,669.02,2018-12-31
300667.SZ,必创科技,北京辖区,仪器仪表制造业,仪器仪表,B,659.34,2018-12-31
300668.SZ,杰恩设计,深圳辖区,专业技术服务业,工程咨询服务Ⅲ,B,677.88,2018-12-31
300669.SZ,沪宁股份,浙江辖区,通用设备制造业,楼宇设备,B,644.84,2018-12-31
300670.SZ,大烨智能,江苏辖区,"电气机械和器材制造业 ",配电设备,B,662.64,2018-12-31
300671.SZ,富满微,深圳辖区,软件和信息技术服务业,模拟芯片设计,B,650.34,2018-12-31
300672.SZ,国科微,湖南辖区,计算机、通信和其他电子设备制造业,数字芯片设计,BB,705.39,2018-12-31
300673.SZ,佩蒂股份,浙江辖区,农副食品加工业,宠物食品,B,677.36,2018-12-31
300675.SZ,建科院,深圳辖区,专业技术服务业,工程咨询服务Ⅲ,B,622.26,2018-12-31
300676.SZ,华大基因,深圳辖区,专业技术服务业,诊断服务,B,667.39,2018-12-31
300677.SZ,英科医疗,山东辖区,橡胶和塑料制品业,医疗耗材,B,646.69,2018-12-31
300678.SZ,中科信息,四川辖区,软件和信息技术服务业,IT服务Ⅲ,B,681.87,2018-12-31
300679.SZ,电连技术,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,644.09,2018-12-31
300680.SZ,隆盛科技,江苏辖区,汽车制造业,底盘与发动机系统,B,686.26,2018-12-31
300681.SZ,英搏尔,广东辖区,"电气机械和器材制造业 ",汽车电子电气系统,BB,708.62,2018-12-31
300682.SZ,朗新科技,江苏辖区,软件和信息技术服务业,IT服务Ⅲ,B,620.65,2018-12-31
300683.SZ,海特生物,湖北辖区,"医药制造业 ",其他生物制品,B,620.69,2018-12-31
300684.SZ,中石科技,北京辖区,化学原料和化学制品制造业,电子化学品Ⅲ,BB,737.16,2018-12-31
300685.SZ,艾德生物,厦门辖区,"医药制造业 ",体外诊断,BB,740.01,2018-12-31
300686.SZ,智动力,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,BB,705.22,2018-12-31
300687.SZ,赛意信息,广东辖区,软件和信息技术服务业,IT服务Ⅲ,BB,718.86,2018-12-31
300688.SZ,创业黑马,北京辖区,商务服务业,培训教育,B,686.55,2018-12-31
300689.SZ,澄天伟业,深圳辖区,计算机、通信和其他电子设备制造业,通信终端及配件,B,698.26,2018-12-31
300690.SZ,双一科技,山东辖区,非金属矿物制品业,风电零部件,B,624.4,2018-12-31
300691.SZ,联合光电,广东辖区,计算机、通信和其他电子设备制造业,安防设备,B,685.86,2018-12-31
300692.SZ,中环环保,安徽辖区,生态保护和环境治理业,水务及水治理,B,685.19,2018-12-31
300693.SZ,盛弘股份,深圳辖区,"电气机械和器材制造业 ",其他电源设备Ⅲ,B,679.55,2018-12-31
300695.SZ,兆丰股份,浙江辖区,汽车制造业,轮胎轮毂,B,655.37,2018-12-31
300696.SZ,爱乐达,四川辖区,铁路、船舶、航空航天和其他运输设备制造业,航空装备Ⅲ,B,609.65,2018-12-31
300697.SZ,电工合金,江苏辖区,有色金属冶炼和压延加工业,铜,B,680.98,2018-12-31
300698.SZ,万马科技,浙江辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,640.14,2018-12-31
300699.SZ,光威复材,山东辖区,化学纤维制造业,航空装备Ⅲ,BB,705.3,2018-12-31
300700.SZ,岱勒新材,湖南辖区,非金属矿物制品业,磨具磨料,C,594.36,2018-12-31
300701.SZ,森霸传感,河南辖区,计算机、通信和其他电子设备制造业,光学元件,BB,710.33,2018-12-31
300702.SZ,天宇股份,浙江辖区,"医药制造业 ",原料药,BB,708.78,2018-12-31
300703.SZ,创源股份,宁波辖区,文教、工美、体育和娱乐用品制造业,文化用品,B,692.26,2018-12-31
300705.SZ,九典制药,湖南辖区,"医药制造业 ",化学制剂,B,661.76,2018-12-31
300706.SZ,阿石创,福建辖区,其他制造业,半导体材料,B,611.73,2018-12-31
300707.SZ,威唐工业,江苏辖区,专用设备制造业,其他汽车零部件,BB,703.06,2018-12-31
300708.SZ,聚灿光电,江苏辖区,计算机、通信和其他电子设备制造业,LED,B,672.94,2018-12-31
300709.SZ,精研科技,江苏辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,629.37,2018-12-31
300710.SZ,万隆光电,浙江辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,613.17,2018-12-31
300711.SZ,广哈通信,广东辖区,计算机、通信和其他电子设备制造业,其他通信设备,C,522.15,2018-12-31
300712.SZ,永福股份,福建辖区,土木工程建筑业,其他专业工程,B,644.02,2018-12-31
300713.SZ,英可瑞,深圳辖区,"电气机械和器材制造业 ",其他电源设备Ⅲ,B,622.56,2018-12-31
300715.SZ,凯伦股份,江苏辖区,非金属矿物制品业,防水材料,B,666.3,2018-12-31
300716.SZ,泉为科技,广东辖区,橡胶和塑料制品业,改性塑料,B,692.97,2018-12-31
300717.SZ,华信新材,江苏辖区,橡胶和塑料制品业,其他塑料制品,B,665.64,2018-12-31
300718.SZ,长盛轴承,浙江辖区,通用设备制造业,工程机械器件,B,658.44,2018-12-31
300719.SZ,安达维尔,北京辖区,铁路、船舶、航空航天和其他运输设备制造业,航空装备Ⅲ,B,627.53,2018-12-31
300720.SZ,海川智能,广东辖区,仪器仪表制造业,仪器仪表,B,662.13,2018-12-31
300721.SZ,怡达股份,江苏辖区,化学原料和化学制品制造业,其他化学制品,B,628.98,2018-12-31
300722.SZ,新余国科,江西辖区,其他制造业,航天装备Ⅲ,B,642.06,2018-12-31
300723.SZ,一品红,广东辖区,"医药制造业 ",化学制剂,B,648.85,2018-12-31
300725.SZ,药石科技,江苏辖区,化学原料和化学制品制造业,医疗研发外包,B,690.87,2018-12-31
300726.SZ,宏达电子,湖南辖区,计算机、通信和其他电子设备制造业,军工电子Ⅲ,B,682.13,2018-12-31
300727.SZ,润禾材料,宁波辖区,化学原料和化学制品制造业,有机硅,BB,714.38,2018-12-31
300729.SZ,乐歌股份,宁波辖区,"家具制造业 ",其他家居用品,B,656.78,2018-12-31
300730.SZ,科创信息,湖南辖区,软件和信息技术服务业,垂直应用软件,B,667.2,2018-12-31
300731.SZ,科创新源,深圳辖区,橡胶和塑料制品业,其他橡胶制品,B,634.74,2018-12-31
300732.SZ,设研院,河南辖区,专业技术服务业,工程咨询服务Ⅲ,BB,745.98,2018-12-31
300735.SZ,光弘科技,广东辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,699.32,2018-12-31
600000.SH,浦发银行,上海辖区,货币金融服务,股份制银行Ⅲ,C,398.55,2018-12-31
600004.SH,白云机场,广东辖区,"航空运输业 ",机场,C,591.33,2018-12-31
600006.SH,东风汽车,湖北辖区,汽车制造业,商用载货车,C,576.93,2018-12-31
600007.SH,中国国贸,北京辖区,房地产业,商业地产,B,626.29,2018-12-31
600008.SH,首创股份,北京辖区,"水的生产和供应业  ",水务及水治理,B,643.93,2018-12-31
600009.SH,上海机场,上海辖区,"航空运输业 ",机场,BB,734.74,2018-12-31
600010.SH,包钢股份,内蒙古辖区,"黑色金属冶炼和压延加工业 ",板材,C,500.86,2018-12-31
600011.SH,华能国际,北京辖区,电力、热力生产和供应业,火力发电,B,651.81,2018-12-31
600012.SH,皖通高速,安徽辖区,道路运输业,高速公路,B,608,2018-12-31
600015.SH,华夏银行,北京辖区,货币金融服务,股份制银行Ⅲ,B,661.54,2018-12-31
600016.SH,民生银行,北京辖区,货币金融服务,股份制银行Ⅲ,C,368.53,2018-12-31
600017.SH,日照港,山东辖区,水上运输业,港口,B,611.89,2018-12-31
600018.SH,上港集团,上海辖区,水上运输业,港口,BB,745.67,2018-12-31
600019.SH,宝钢股份,上海辖区,"黑色金属冶炼和压延加工业 ",板材,B,668.53,2018-12-31
600020.SH,中原高速,河南辖区,道路运输业,高速公路,B,636.3,2018-12-31
600021.SH,上海电力,上海辖区,电力、热力生产和供应业,火力发电,BB,728.8,2018-12-31
600022.SH,山东钢铁,山东辖区,"黑色金属冶炼和压延加工业 ",板材,C,452.78,2018-12-31
600023.SH,浙能电力,浙江辖区,电力、热力生产和供应业,火力发电,BB,748.27,2018-12-31
600025.SH,华能水电,云南辖区,电力、热力生产和供应业,水力发电,B,647.44,2018-12-31
600026.SH,中远海能,上海辖区,水上运输业,航运,B,659.36,2018-12-31
600027.SH,华电国际,山东辖区,电力、热力生产和供应业,火力发电,B,675.91,2018-12-31
600028.SH,中国石化,北京辖区,石油和天然气开采业,炼油化工,A,827.07,2018-12-31
600029.SH,南方航空,广东辖区,"航空运输业 ",航空运输,B,675.98,2018-12-31
600030.SH,中信证券,深圳辖区,资本市场服务,证券Ⅲ,BB,708.82,2018-12-31
600031.SH,三一重工,北京辖区,专用设备制造业,工程机械整机,B,659.82,2018-12-31
600033.SH,福建高速,福建辖区,道路运输业,高速公路,C,591.28,2018-12-31
600035.SH,楚天高速,湖北辖区,道路运输业,高速公路,B,627.74,2018-12-31
600036.SH,招商银行,深圳辖区,货币金融服务,股份制银行Ⅲ,B,669.13,2018-12-31
600037.SH,歌华有线,北京辖区,电信、广播电视和卫星传输服务,电视广播Ⅲ,B,677.56,2018-12-31
600038.SH,中直股份,黑龙江辖区,铁路、船舶、航空航天和其他运输设备制造业,航空装备Ⅲ,BB,721.26,2018-12-31
600039.SH,四川路桥,四川辖区,土木工程建筑业,基建市政工程,B,636.37,2018-12-31
600048.SH,保利发展,广东辖区,房地产业,住宅开发,A,821.54,2018-12-31
600050.SH,中国联通,北京辖区,电信、广播电视和卫星传输服务,电信运营商,BBB,755.45,2018-12-31
600051.SH,宁波联合,宁波辖区,批发业,综合Ⅲ,C,588.94,2018-12-31
600052.SH,东望时代,浙江辖区,广播、电视、电影和影视录音制作业,热力服务,C,584.12,2018-12-31
600053.SH,九鼎投资,江西辖区,其他金融业,资产管理,BB,713.38,2018-12-31
600054.SH,黄山旅游,安徽辖区,公共设施管理业,自然景区,B,690.86,2018-12-31
600055.SH,万东医疗,北京辖区,专用设备制造业,医疗设备,B,602.44,2018-12-31
600056.SH,中国医药,北京辖区,批发业,医药流通,BB,724.66,2018-12-31
600057.SH,厦门象屿,厦门辖区,商务服务业,原材料供应链服务,BBB,798.15,2018-12-31
600058.SH,五矿发展,北京辖区,批发业,贸易Ⅲ,C,363.08,2018-12-31
600059.SH,古越龙山,浙江辖区,酒、饮料和精制茶制造业,其他酒类,B,672.99,2018-12-31
600060.SH,海信视像,青岛辖区,计算机、通信和其他电子设备制造业,彩电,B,694.28,2018-12-31
